the_geom,ID,AGENCY_NAM,PROGRAM_TY,AGENCY_TEL,CBO_SERVIC,SP_EIN,CBO_SP_TEL,SCHOOL_ID,SITE_NAME,SITE_BUILD,SITE_STREE,SITE_BOROU,SITE_ZIP,SETTING,ESTIMATED_,SUMMER,SCHOOL_YEA,WEEKENDS,EVENINGS,ELEMENTARY,MIDDLE_SCH,HIGH_SCHOO,WEEKLY_HOU,ENROLLMENT,ACADEMICS,SPORTS_PHY,ARTS_CULTU,NAME,ADDRESS1,ADDRESS2
POINT (-73.89328924645143 40.67157609920386),DYCD229,DYCD,OST,800-246-4646,"Groundwork Inc,",,718-346-2200,19K292,Margaret S. Douglas School,300,Wyona Street,Brooklyn,11207,school,0,yes,yes,unknown,unknown,yes,yes,no,Full-time,0,yes,yes,yes,OST - Groundwork Inc,300 Wyona Street,"Brooklyn, NY 11207"
POINT (-73.89397195888522 40.653723665383616),DYCD230,DYCD,OST,800-246-4646,"Groundwork Inc,",,718-346-2200,19K260,Breuckelen Elementary School,875,Williams Avenue,Brooklyn,11207,school,0,no,yes,unknown,unknown,yes,yes,no,Full-time,0,yes,yes,yes,OST - Groundwork Inc,875 Williams Avenue,"Brooklyn, NY 11207"
POINT (-73.89818991906421 40.66781891205655),DYCD232,DYCD,OST,800-246-4646,"Groundwork Inc,",,718-346-2200,19K328,Phyllis Wheatley ES,330,Alabama Avenue,Brooklyn,11207,school,0,no,yes,unknown,unknown,yes,yes,no,Full-time,0,yes,yes,yes,OST - Groundwork Inc,330 Alabama Avenue,"Brooklyn, NY 11207"
POINT (-73.92494872711413 40.865600000872725),DYCD247,DYCD,OST,800-246-4646,"Inwood Community Services, Inc.",,212-942-0043,06M052,Inwood School,650,Academy Street,Manhattan,10034,school,0,no,yes,unknown,unknown,no,no,yes,Part-time,0,no,no,no,OST - Inwood Comm. Services,650 Academy Street,"Manhattan, NY 10034"
POINT (-73.97774705978121 40.676574207016465),DYCD673,DYCD,OST,800-246-4646,"Imani House, Inc.",,718-638-2059,13K282,Public School 282,180,6th Avenue,Brooklyn,11217,School,120,Yes,Yes,unknown,unknown,Yes,No,No,Full-time,120,Yes,Yes,Yes,OST - Imani House,180 6th Avenue,"Brooklyn, NY 11217"
POINT (-73.91852771612352 40.862192227070864),DYCD674,DYCD,OST,800-246-4646,"Inwood Community Services, Inc.",,212-942-0043,,St. Jude's,403,West 204th Street,Manhattan,10034,center,105,Yes,Yes,unknown,unknown,Yes,No,No,Full-time,105,Yes,Yes,Yes,OST - Inwood Comm. Services,403 West 204th Street,"Manhattan, NY 10034"
POINT (-73.9453776414051 40.82883618767044),DYCD675,DYCD,OST,800-246-4646,Inwood House,,212-234-2754,06M353,New Heights Academy Charter School (M353),1818,AMSTERDAM AVENUE,Manhattan,10031,School,60,No,Yes,unknown,unknown,No,Yes,No,Full-time,60,Yes,Yes,Yes,OST - Inwood House,1818 Amsterdam Avenue,"Manhattan, NY 10031"
POINT (-73.90050149489106 40.85948183361179),DYCD248,DYCD,OST,800-246-4646,Inwood House,,212-861-4400,10X399,MS 399,120,East 184th Street,Bronx,10468,school,0,no,yes,unknown,unknown,no,yes,no,Full-time,0,yes,yes,yes,OST - Inwood House,120 East 184th Street,"Bronx, NY 10468"
POINT (-73.91246876271916 40.87166865478818),DYCD249,DYCD,OST,800-246-4646,"Inwood Community Services, Inc.",,212-942-0043,06M278,PS/IS 278,421,West 219th Street,Manhattan,10034,school,130,Yes,Yes,unknown,unknown,Yes,No,No,Full-time,130,yes,yes,yes,OST - Inwood House,421 West 219th Street,"Manhattan, NY 10034"
POINT (-73.90120098689218 40.86167293169139),DYCD250,DYCD,OST,800-246-4646,Inwood House,,212-861-4400,10X033,Timothy Dwight ES,2424,Jerome Avenue,Bronx,10468,school,0,yes,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Inwood House,2424 Jerome Avenue,"Bronx, NY 10468"
POINT (-73.91824257287183 40.81001979258808),DYCD254,DYCD,OST,800-246-4646,"Just Us, Inc.",,212-831-3980,07X222,IS 222,345,Brook Avenue,Bronx,10454,school,0,no,yes,unknown,unknown,no,yes,no,Full-time,0,yes,yes,yes,OST - Just Us,345 Brook Avenue,"Bronx, NY 10454"
POINT (-73.90362057351675 40.90370036552448),DYCD520,DYCD,OST,800-246-4646,"Riverdale Neighborhood House, Inc.",,718-549-8100,,Riverdale Neighborhood House,5521,Mosholu Avenue,Bronx,10471,center,0,no,yes,unknown,unknown,no,no,yes,Part-time,0,no,no,no,OST - Riverdale Neighborhood House,5521 Mosholu Avenue,"Bronx, NY 10471"
POINT (-73.91699386780189 40.689324962356906),DYCD526,DYCD,OST,800-246-4646,Salvation Army Community Center,,212-337-7201,,Bushwick Comm. Ctr.,1151,Bushwick Avenue,Brooklyn,11221,center,0,no,yes,unknown,unknown,yes,yes,yes,Full-time/Part-time,0,yes,yes,yes,OST - Salvation Army Comm. Center,1151 Bushwick Avenue,"Brooklyn, NY 11221"
POINT (-74.00987347969854 40.64463959928151),DYCD529,DYCD,OST,800-246-4646,Salvation Army Community Center,,212-337-7201,,Sunset Park Comm. Ctr.,520,50th Street,Brooklyn,11220,center,0,no,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Salvation Army Comm. Center,520 50th Street,"Brooklyn, NY 11220"
POINT (-73.94439087509892 40.650902320520785),DYCD531,DYCD,OST,800-246-4646,"Sesame Flyers International, Inc.",,718-693-0500,,Sesame Flyers International,3510,Church Avenue,Brooklyn,11203,center,0,no,yes,unknown,unknown,no,no,yes,Part-time,0,no,no,no,OST - Sesame Flyers International,3510 Church Avenue,"Brooklyn, NY 11203"
POINT (-73.87710352085928 40.735503195154934),DYCD532,DYCD,OST,800-246-4646,South Asian Youth Action,,718-651-3484,,South Asian Youth Action,54-05,Seabury Street,Queens,11373,center,0,no,yes,unknown,unknown,no,no,yes,Part-time,0,no,no,no,OST - South Asian Youth Action,54-05 Seabury Street,"Queens, NY 11373"
POINT (-73.97827800428448 40.67423917963822),DYCD535,DYCD,OST,800-246-4646,St. Francis Xavier Parish,,718-857-4046,,St. Francis Xavier Lyceum,752,President Street,Brooklyn,11215,center,0,no,yes,unknown,unknown,no,no,yes,Part-time,0,no,no,no,OST - St. Francis Xavier Parish,752 President Street,"Brooklyn, NY 11215"
POINT (-73.94211511172206 40.79271452507308),DYCD547,DYCD,OST,800-246-4646,Union Settlement Association,,212-828-6000,04M117?,Tito Puente Performing Arts Academy,230,East 109th Street,Manhattan,10029,center,0,no,yes,unknown,unknown,no,yes,no,Full-time,0,yes,yes,yes,OST - Union Settlement Association,230 East 109th Street,"Manhattan, NY 10029"
POINT (-73.97131740875838 40.638239084401576),DYCD197,DYCD,OST,800-246-4646,Flatbush Development Corporation,,718-859-3800,20K062,Ditmas Junior High School,700,Cortelyou Road,Brooklyn,11218,school,0,no,yes,unknown,unknown,no,yes,no,Full-time,0,yes,yes,yes,OST - Flatbush Dev.,700 Cortelyou Road,"Brooklyn, NY 11218"
POINT (-73.96632108108204 40.63372507066323),DYCD198,DYCD,OST,800-246-4646,Flatbush Development Corporation,,718-859-3800,22K217,Col. David Marcus ES,1100,Newkirk Avenue,Brooklyn,11230,school,0,no,yes,unknown,unknown,no,no,yes,Part-time,0,no,no,no,OST - Flatbush Dev.,1100 Newkirk Avenue,"Brooklyn, NY 11230"
POINT (-73.84748273777019 40.684437966957425),DYCD202,DYCD,OST,800-246-4646,Forest Park Rangers Inc.,,718-296-2142,27Q210,Elizabeth Blackwell School,93-11,101st Avenue,Queens,11416,school,0,no,yes,unknown,unknown,no,yes,no,Full-time,0,yes,yes,yes,OST - Forest Park Rangers,93-11 101st Avenue,"Queens, NY 11416"
POINT (-73.91543422134765 40.69563709134689),DYCD563,DYCD,Beacon,800-246-4646,Coalition For Hispanic Family Services,,800-246-4646,32K291,JHS 291,231,Palmetto Street,Brooklyn,11221,School,1350,yes,yes,yes,yes,yes,yes,yes,Enrolled/Drop In,1350,yes,yes,yes,Beacon - Coalition for Hispanic Family Services,231 Palmetto Street,"Brooklyn, NY 11221"
POINT (-73.90864981609327 40.84854085559943),DOE_DYCD160,DYCD,Beacon,800-246-4646,Community Association of Progressive Dominicans,133266145,212-781-5500,09X117,JHS 117,1865,Morris Avenue,Bronx,10453,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Comm. Association of Progressive Dominicans,1865 Morris Avenue,"Bronx, NY 10453"
POINT (-73.93714778253714 40.836937500168176),DOE_DYCD161,DYCD,Beacon,800-246-4646,Community Association of Progressive Dominicans,133266145,212-781-5500,06M328,MS 328,401,West 164th Street,Manhattan,10032,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Comm. Association of Progressive Dominicans,401 West 164th Street,"Manhattan, NY 10032"
POINT (-73.84052260871884 40.88627757103947),DOE_DYCD174,DYCD,Beacon,800-246-4646,Mosholu Montefiore Community Center,133622106,(718) 882-4000,11X142,MS 142,3750,Baychester Avenue,Bronx,10466,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Mosholu Montefiore Community Center,3750 Baychester Avenue,"Bronx, NY 10466"
POINT (-73.97604692695111 40.6968666515099),DOE_DYCD202,DYCD,Beacon,800-246-4646,Goodwill Industries of Greater New York,131641068,718-777-6315,13K265,JHS 265,101,Park Avenue,Brooklyn,11205,School,1850,yes,yes,yes,yes,yes,yes,yes,Full-time,1850,yes,yes,yes,Beacon - Goodwill Industries of Greater NY,101 Park Avenue,"Brooklyn, NY 11205"
POINT (-73.90454424047888 40.77568208913564),DOE_DYCD178,DYCD,Beacon,800-246-4646,Goodwill Industries of Greater New York,131641068,718-777-6315,30Q141,JHS 141,37-11,21st Avenue,Queens,11105,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Goodwill Industries of Greater NY,37-11 21st Avenue,"Queens, NY 11105"
POINT (-73.83259271580587 40.88299250833304),NYCHA106,NYCHA,NYCHA (HUD),718-409-8620,NYCHA,,(718) 671-1040,,Boston Secor Comm. Ctr.,3540,Bivona St,Bronx,10475,NYCHA Community Center,119,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,119,Yes,Yes,Yes,Boston Secor Comm. Ctr.,3540 Bivona St,"Bronx, NY 10475"
POINT (-73.90807652330153 40.87654219559265),NYCHA107,NYCHA,NYCHA (HUD),718-409-8620,NYCHA,,(718) 562-8560,,Marble Hill Comm. Ctr.,5365,Broadway,Bronx,10463,NYCHA Community Center,121,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,121,Yes,Yes,Yes,Marble Hill Comm. Ctr.,5365 Broadway,"Bronx, NY 10463"
POINT (-73.87022691652103 40.869225685582336),NYCHA111,NYCHA,NYCHA (HUD),718-409-8620,NYCHA,,(718) 882-0787,,Parkside Comm. Ctr.,2972,Bronx Park East,Bronx,10467,NYCHA Community Center,129,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,129,Yes,Yes,Yes,Parkside Comm. Ctr.,2972 Bronx Park East,"Bronx, NY 10467"
POINT (-73.89477384979682 40.843290310082224),NYCHA95,NYCHA,NYCHA (HUD),718-409-8620,NYCHA,,(718) 466-6724,,Murphy Comm. Ctr.,601,Crotona Park North,Bronx,10457,NYCHA Community Center,106,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,106,Yes,Yes,Yes,Murphy Comm. Ctr.,601 Crotona Park North,"Bronx, NY 10457"
POINT (-73.84285811170899 40.8844298225463),NYCHA129,NYCHA,NYCHA (HUD),718-409-8620,NYCHA,,(718) 231-3060,,Baychester Comm. Ctr.,1220,E. 229th St.,Bronx,10466,NYCHA Community Center,198,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,198,Yes,Yes,Yes,Baychester Comm. Ctr.,1220 E. 229th St.,"Bronx, NY 10466"
POINT (-73.91472662243748 40.81269927940475),NYCHA86,NYCHA,NYCHA (HUD),718-409-8620,NYCHA,,(718) 665-7850,,Betances Comm. Ctr.,547,East 146th St,Bronx,10455,NYCHA Community Center,89,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,89,Yes,Yes,Yes,Betances Comm. Ctr.,547 East 146th St,"Bronx, NY 10455"
POINT (-73.91955992571877 40.821365862920715),NYCHA126,NYCHA,NYCHA (HUD),718-409-8620,NYCHA,,(718) 665-7093,,Classic Comm. Ctr.,286,East 156th Street,Bronx,10471,NYCHA Community Center,178,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,178,Yes,Yes,Yes,Classic Comm. Ctr.,286 East 156th Street,"Bronx, NY 10451"
POINT (-73.90453578289785 40.82169448148394),NYCHA39,NYCHA,NYCHA (HUD),718-409-8620,NYCHA,,(718) 993-8259,,McKinley Comm. Ctr.,751,East 161st St,Bronx,10456,NYCHA Community Center,0,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,0,Yes,Yes,Yes,McKinley Comm. Ctr.,751 East 161st St,"Bronx, NY 10456"
POINT (-73.87632215697911 40.8349600215028),NYCHA113,NYCHA,NYCHA (HUD),718-409-8620,NYCHA,,(718) 589-0553,,Bronx River Comm. Ctr.,1619,East 174th St,Bronx,10472,NYCHA Community Center,135,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,135,Yes,Yes,Yes,Bronx River Comm. Ctr.,1619 East 174th St,"Bronx, NY 10472"
POINT (-73.97481196925793 40.693823258014376),NYCHA71,NYCHA,NYCHA (HUD),718-453-1296,NYCHA,,(718) 855-2648,,Whitman Comm. Ctr.,149,N Oxford Wk,Brooklyn,11205,NYCHA Community Center,71,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,71,Yes,Yes,Yes,Whitman Comm. Ctr.,149 N Oxford Wk,"Brooklyn, NY 11205"
POINT (-73.93675407278255 40.673942213402874),NYCHA72,NYCHA,NYCHA (HUD),718-453-1296,NYCHA,,(718) 771 6462,,Albany Comm. Ctr. 54,164,Troy Avenue,Brooklyn,11213,NYCHA Community Center,72,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,72,Yes,Yes,Yes,Albany Comm. Ctr. 54,164 Troy Avenue,"Brooklyn, NY 11213"
POINT (-73.8181312770002 40.76020005207282),DYCD257,DYCD,OST,800-246-4646,Korean American Family Service Center,,718-539-7682,25Q189,JHS 189,144-80,Barclay Avenue,Queens,11355,school,0,no,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Korean American Family Service Center,144-80 Barclay Avenue,"Queens, NY 11355"
POINT (-73.95792598376156 40.77173924864671),DYCD259,DYCD,OST,800-246-4646,Lenox Hill Neighborhood House,,212-744-5022,02M167,Robert Wagner School,220,East 76th Street,Manhattan,10021,school,0,no,yes,unknown,unknown,no,yes,no,Full-time,0,yes,yes,yes,OST - Lenox Hill Neighborhood House,220 East 76th Street,"Manhattan, NY 10021"
POINT (-73.97144645946096 40.68854159120252),DYCD260,DYCD,OST,800-246-4646,Long Island University,,718-246-6477,13K113,Ronald Edmonds School,300,Adelphi Street,Brooklyn,11205,school,0,yes,yes,unknown,unknown,no,yes,no,Full-time,0,yes,yes,yes,OST - Long Island University,300 Adelphi Street,"Brooklyn, NY 11205"
POINT (-73.9420398843005 40.72364379864089),DYCD328,DYCD,OST,800-246-4646,School Settlement,,718-389-1810,14K110,Monitor Elementary School,124,Monitor Street,Brooklyn,11222,school,0,no,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - School Settlement,124 Monitor Street,"Brooklyn, NY 11222"
POINT (-73.85386043421576 40.87002147617116),DYCD559,DYCD,OST,800-246-4646,Inwood House,,212-861-4400,,Eastchester Comm. Ctr.,3016,Yates Ave,Bronx,10469,NYCHA Community Center,0,no,Yes,unknown,unknown,no,Yes,no,Part-time,0,Yes,Yes,Yes,OST - Inwood House,3016 Yates Avenue,"Bronx, NY 10469"
POINT (-73.88730919884685 40.88130861906213),DOE_DYCD34,DOE,21st Century,212-374-5472,Baychester Youth Center,,718-325-9484,10X440,Dewitt Clinton HS,100,West Mosholu Pkwy S,Bronx,10468,School,0,unknown,yes,unknown,unknown,no,no,yes,Full-time,0,yes,yes,yes,21st Century - Baychester Youth Center,100 West Mosholu Pkwy S,"Bronx, NY 10468"
POINT (-73.91196530822485 40.69678575610166),DOE_DYCD6,DOE,21st Century,212-374-5472,Brooklyn College Community Partnership for Research & Learning,,718-951-5015,32K552,Academy of Urban Planning,400,Irving Avenue,Brooklyn,11236,School,0,unknown,yes,unknown,unknown,Yes,Yes,Yes,Full-time,0,yes,yes,yes,21st Century - Brooklyn CC Partnership for Research & Learning,400 Irving Avenue,"Brooklyn, NY 11237"
POINT (-73.93514577100285 40.743867084480435),DOE_DYCD137,DOE,21st Century,212-374-5472,Citizen Committee of New York City,,212-374-5472,30Q530,International HS,31-10,Thomson Avenue,Queens,11101,School,0,unknown,yes,unknown,unknown,No,No,Yes,Full-time,0,yes,yes,yes,21st Century - Citizen Committee of NY City,31-10 Thomson Avenue,"Queens, NY 11101"
POINT (-74.0018399930651 40.645908556470864),DOE_DYCD10,DOE,21st Century,212-374-5472,City of NY Parks & Recreation,,212-360-3310,15K169,PS 169,4305,7th Avenue,Brooklyn,11232,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - City of NY Parks & Recreation,4305 7th Avenue,"Brooklyn, NY 11232"
POINT (-73.91034484159393 40.68891480145433),DOE_DYCD148,DOE,21st Century,212-374-5472,Revelation Performing Arts Studio,,347-386-1819,32K296,IS 296,125,Covert Street,Brooklyn,11207,School,0,unknown,yes,unknown,unknown,No,yes,No,Full-time,0,yes,yes,yes,21st Century - Revelation Performing Arts Studio,125 Covert Street,"Brooklyn, NY 11207"
POINT (-73.9113229000756 40.66645447233971),DOE_DYCD138,DOE,21st Century,212-374-5472,"Educators for Children, Youth and Families",113335095,718-230-0079,23K323,PS/IS 323,210,Chester Street,Brooklyn,11212,School,0,unknown,yes,unknown,unknown,Yes,yes,no,Full-time,0,yes,yes,yes,"21st Century - Educators for Children, Youth and Families",210 Chester Street,"Brooklyn, NY 11212"
POINT (-73.99243351130364 40.574236914366445),DOE_DYCD154,DOE,21st Century,212-374-5472,South Brooklyn Youth Consortium,,718-265-3225,21K288,PS 288,2950,West 25th Street,Brooklyn,11224,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - South Brooklyn Youth Consortium,2950 West 25th Street,"Brooklyn, NY 11224"
POINT (-73.972423187167 40.58248086372823),DOE_DYCD155,DOE,21st Century,212-374-5472,South Brooklyn Youth Consortium,,718-265-3225,21K303,IS 303,501,West Avenue,Brooklyn,11224,School,0,unknown,yes,unknown,unknown,No,yes,No,Full-time,0,yes,yes,yes,21st Century - South Brooklyn Youth Consortium,501 West Avenue,"Brooklyn, NY 11224"
POINT (-73.98554419089093 40.711350717204645),DOE_DYCD117,DOE,21st Century,212-374-5472,University Settlement Society of New York,135562374,212-674-9120,01M137,PS 137,327,Cherry Street,Manhattan,10002,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - University Settlement Society of NY,327 Cherry Street,"Manhattan, NY 10002"
POINT (-73.98249022838785 40.729161158293174),DOE_DYCD118,DOE,21st Century,212-374-5472,University Settlement Society of New York,135562374,212-674-9120,01M450,IS/HS 450,420,East 12th Street,Manhattan,10009,School,0,unknown,yes,unknown,unknown,No,yes,No,Full-time,0,yes,yes,yes,21st Century - University Settlement Society of NY,420 East 12th Street,"Manhattan, NY 10009"
POINT (-73.98623139047649 40.724385105737895),DOE_DYCD116,DOE,21st Century,212-374-5472,University Settlement Society of New York,135562374,212-674-9120,01M036,PS 63,121,East 3rd Street,Manhattan,10009,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - University Settlement Society of NY,121 East 3rd Street,"Manhattan, NY 10009"
POINT (-73.88532493763526 40.8157074465792),DOE_DYCD199,DYCD,Beacon,800-246-4646,Alianza Dominicana,133402057,212-740-1960,08X201,MS 201,730,Bryant Avenue,Bronx,10474,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Alianza Dominicana,730 Bryant Avenue,"Bronx, NY 10474"
POINT (-73.92577616011303 40.839733684366074),DOE_DYCD162,DYCD,Beacon,800-246-4646,Alianza Dominicana,133402057,212-740-1960,09X011,CES 11,1257,Ogden Avenue,Bronx,10452,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Alianza Dominicana,1257 Ogden Avenue,"Bronx, NY 10452"
POINT (-73.93095839535921 40.84921202933998),DOE_DYCD163,DYCD,Beacon,800-246-4646,Alianza Dominicana,133402057,212-740-1960,06M143,JHS 143,511,West 182nd Street,Manhattan,10033,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Alianza Dominicana,511 West 182nd Street,"Manhattan, NY 10033"
POINT (-73.95609209343176 40.57991978462529),DYCD123,DYCD,OST,800-246-4646,"Brighton Neighborhood Association, Inc.",,718-891-0800,21K225,PS 225 - Eileen E. Zaglin,1075,Ocean View Avenue,Brooklyn,11235,school,0,no,yes,unknown,unknown,no,yes,no,Part-time,0,yes,yes,yes,OST - Brighton Neighborhood Association,1075 Ocean View Avenue,"Brooklyn, NY 11235"
POINT (-73.95696615797331 40.82119894349196),DYCD433,DYCD,OST,800-246-4646,"Broadway Housing Communities, Inc",,212-568-2030,,Broadway Housing Communities,583,Riverside Drive,Manhattan,10031,center,0,no,yes,unknown,unknown,yes,yes,no,Part-time,0,yes,yes,yes,OST - Broadway Housing Communities,583 Riverside Drive,"Manhattan, NY 10031"
POINT (-73.91871722926552 40.85156220468471),DYCD124,DYCD,OST,800-246-4646,Bronx Arts Ensemble,,718-601-7399,09X109,PS 109 - Sedgwick School,1771,Popham Avenue,Bronx,10453,school,0,yes,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Bronx Arts Ensemble,1771 Popham Avenue,"Bronx, NY 10453"
POINT (-73.97765627434916 40.720667805687455),NYCHA5,NYCHA,NYCHA (HUD),212-306-3324,Boys and Girls Republic,135562975,(212) 686-8888,,Boys & Girls Republic of Henry Street Settlement,24,Avenue D,Manhattan,10009,NYCHA Community Center,354,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,354,Yes,Yes,Yes,Boys and Girls Republic of Henry Street Settlement,24 Avenue D,"Manhattan, NY 10009"
POINT (-74.117176386765 40.63659731456503),DOE_DYCD235,DYCD,Beacon,800-246-4646,United Activities Unlimited,132921483,718-448-4834,31R018,PS 18,221,Broadway,Staten Island,10310,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - United Activities Unlimited,221 Broadway,"Staten Island, NY 10310"
POINT (-73.91249980679355 40.759474686298866),DOE_DYCD177,DYCD,Beacon,800-246-4646,Goodwill Industries of Greater New York,131641068,718-777-6315,30Q010,IS 10,45-11,31st Avenue,Queens,11103,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Goodwill Industries of Greater NY,45-11 31st Avenue,"Queens, NY 11103"
POINT (-73.93378072793462 40.79924143065054),DOE_DYCD159,DYCD,Beacon,800-246-4646,SCAN / Mullaly Park Academy,132912963,212-683-2522,04M045,JHS 45,2351,1st Avenue,Manhattan,10035,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - SCAN / Mullaly Park Academy,2351 1st Avenue,"Manhattan, NY 10035"
POINT (-73.97625766737427 40.72179857566533),NYCHA4,NYCHA,NYCHA (HUD),212-306-3324,Boys and Girls Republic,135562975,(212) 686-8888,,Boys & Girls Republic of Henry Street Settlement,888,East 6th St,Manhattan,10009,NYCHA Community Center,312,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,312,Yes,Yes,Yes,Boys and Girls Republic of Henry Street Settlement,888 East 6th St,"Manhattan, NY 10009"
POINT (-73.94220147621854 40.78521891929391),DOE_DYCD210,DYCD,Beacon,800-246-4646,Supportive Childrens Advocacy Network (SCAN),132912963,212-683-2522,04M635,Academy of Environmental Science Secondary HS,410,East 100th Street,Manhattan,10029,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - SCAN,410 East 100th Street,"Manhattan, NY 10029"
POINT (-73.95651683779383 40.81180532830243),NYCHA6,NYCHA,NYCHA (HUD),212-306-3324,"Boys Harbor, Inc.",,(212) 666-6000,,Grant Comm. Ctr.,1301,Amsterdam Ave,Manhattan,10027,NYCHA Community Center,190,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,190,Yes,Yes,Yes,Grant Comm. Ctr.,1301 Amsterdam Ave,"Manhattan, NY 10027"
POINT (-73.78675583227033 40.5942177798771),DOE_DYCD206,DYCD,Beacon,800-246-4646,Police Athletic League,135596811,212-477-9450,27Q333,PS / MS 333,365,Beach 56th Street,Queens,11692,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Police Athletic League,365 Beach 56th Street,"Queens, NY 11692"
POINT (-73.96367420812541 40.797470462061355),NYCHA7,NYCHA,NYCHA (HUD),212-306-3324,"Children's Aid Society, Inc.",135562191,(212) 865-6337,,Children's Aid Society Frederick Douglass Children's Ctr.,885,Columbus Ave,Manhattan,10025,NYCHA Community Center,2849,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,2849,Yes,Yes,Yes,Children's Aid Society Frederick Douglass Children's Ctr.,885 Columbus Ave,"Manhattan, NY 10025"
POINT (-73.87435898778736 40.75513648531966),DOE_DYCD179,DYCD,Beacon,800-246-4646,Goodwill Industries of Greater New York,131641068,718-777-6315,30Q149,PS 149,93-11,34th Avenue,Queens,11372,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Goodwill Industries of Greater NY,93-11 34th Avenue,"Queens, NY 11372"
POINT (-73.95704569789962 40.81980493353583),DOE_DYCD180,DYCD,Beacon,800-246-4646,Graham-Windham Services To Families & Children,132926426,212-529-6445,05M195,IS 195,625,West 133rd Street,Manhattan,10027,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Graham-Windham Services To Families & Children,625 West 133rd Street,"Manhattan, NY 10027"
POINT (-73.9859719303444 40.720147457154034),DOE_DYCD181,DYCD,Beacon,800-246-4646,Grand Street Settlement,135562230,212-674-1740,01M509,Marte Valle HS,145,Stanton Street,Manhattan,10002,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Grand Street Settlement,145 Stanton Street,"Manhattan, NY 10002"
POINT (-73.90310228109774 40.70561022292774),DOE_DYCD218,DYCD,Beacon,800-246-4646,Greater Ridgewood Youth Council,112518141,718-381-0487,24Q093,IS 93,66-56,Forest Avenue,Queens,11385,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Greater Ridgewood Youth Council,66-56 Forest Avenue,"Queens, NY 11385"
POINT (-73.96274864068064 40.80054826546796),DOE_DYCD184,DYCD,Beacon,800-246-4646,Harlem Children's Zone,237112974,212-666-7236,03M054,MS 54,103,West 107th Street,Manhattan,10025,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Harlem Children's Zone,103 West 107th Street,"Manhattan, NY 10025"
