"","GEOID","Adjusted.Grade","New.","Other.Location.Code.in.LCGMS","School.Name","SED.Code","Location.Code","District","Latitude","Longitude","Address..Full.","City","Zip","Grades","Grade.Low","Grade.High","Community.School.","Economic.Need.Index","School.Income.Estimate","Percent.ELL","Percent.Asian","Percent.Black","Percent.Hispanic","Percent.Black...Hispanic","Percent.White","Student.Attendance.Rate","Percent.of.Students.Chronically.Absent","Rigorous.Instruction..","Rigorous.Instruction.Rating","Collaborative.Teachers..","Collaborative.Teachers.Rating","Supportive.Environment..","Supportive.Environment.Rating","Effective.School.Leadership..","Effective.School.Leadership.Rating","Strong.Family.Community.Ties..","Strong.Family.Community.Ties.Rating","Trust..","Trust.Rating","Student.Achievement.Rating","Average.ELA.Proficiency","Average.Math.Proficiency","NumOfLibraries","NumOfAfterSchoolProgs","NumOfLowIncomeUnits","SchoolGEOID","MedianHldIncome","IncomeToPovertyRatio","ChildPoverty","CountofSNAPHlds","HealthCoverage"
"289","36005046201","","","","P.S. 153 HELEN KELLER",3.21e+11,"11X153",11,40.873045,-73.833345,"650 BAYCHESTER AVE BRONX, NY 10475","BRONX",10475,"0K,01,02,03,04,05","0K",5,"No","0.44","47216.26",0.01,0.09,0.58,0.25,0.84,0.05,"0.95","0.15","0.9","Exceeding Target","0.91","Meeting Target","0.9","Exceeding Target","0.84","Meeting Target","0.85","Meeting Target","0.96","Exceeding Target","Meeting Target","2.77","3.01",2,20,0,"360050462018000",45770,7004,4255,12683,28186
"290","36005046202","","","","CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA)",3.21e+11,"11X462",11,40.883064,-73.830908,"3441 STEENWICK AVE BRONX, NY 10475","BRONX",10475,"06,07,08","6",8,"No","0.63","N/A",0.03,0,0.67,0.29,0.97,0.02,"0.93","0.22","0.91","Meeting Target","0.84","Meeting Target","0.86","Meeting Target","0.79","Meeting Target","0.78","Approaching Target","0.9","Meeting Target","Meeting Target","2.49","2.53",2,17,0,"360050462021011",35733,1931,2518,2538,8578
"291","36005046202","","","","CORNERSTONE ACADEMY FOR SOCIAL ACTION",3.21e+11,"11X189",11,40.883064,-73.830908,"3441 STEENWICK AVE BRONX, NY 10475","BRONX",10475,"PK,0K,01,02,03,04,05","PK",5,"No","0.74","43493.31",0.04,0,0.54,0.41,0.96,0.02,"0.92","0.3","0.88","Meeting Target","0.92","Exceeding Target","0.84","Meeting Target","0.88","Exceeding Target","0.84","Meeting Target","0.94","Exceeding Target","Meeting Target","2.37","2.54",2,17,0,"360050462021011",35733,1931,2518,2538,8578
"292","36005048400","","","","BRONX ALLIANCE MIDDLE SCHOOL",3.21e+11,"11X355",11,40.886043,-73.840576,"3750 BAYCHESTER AVE BRONX, NY 10466","BRONX",10466,"06,07,08","6",8,"No","0.73","N/A",0.07,0.05,0.61,0.31,0.92,0.02,"0.93","0.26","0.84","Approaching Target","0.89","Approaching Target","0.82","Approaching Target","0.82","Meeting Target","0.84","Meeting Target","0.92","Exceeding Target","Approaching Target","2.08","2.08",1,17,0,"360050484003001",68750,840,784,1194,3975
"293","36005048400","","","","ONE WORLD MIDDLE SCHOOL AT EDENWALD",3.21e+11,"11X529",11,40.886043,-73.840576,"3750 BAYCHESTER AVE BRONX, NY 10466","BRONX",10466,"06,07,08","6",8,"No","0.7","N/A",0.07,0.03,0.6,0.32,0.93,0.02,"0.93","0.24","0.89","Meeting Target","0.9","Meeting Target","0.84","Meeting Target","0.88","Meeting Target","0.79","Meeting Target","0.93","Meeting Target","Meeting Target","2.34","2.31",1,17,0,"360050484003001",68750,840,784,1194,3975
"294","36005048400","","","","BAYCHESTER MIDDLE SCHOOL",3.21e+11,"11X532",11,40.886043,-73.840576,"3750 BAYCHESTER AVE BRONX, NY 10466","BRONX",10466,"06,07,08","6",8,"No","0.7","N/A",0.05,0.01,0.68,0.27,0.95,0.01,"0.93","0.26","0.85","Meeting Target","0.83","Meeting Target","0.89","Meeting Target","0.8","Approaching Target","0.8","Meeting Target","0.84","Meeting Target","Meeting Target","2.25","2.52",1,17,0,"360050484003001",68750,840,784,1194,3975
"295","36005048400","","","","P.S. 111 SETON FALLS",3.21e+11,"11X111",11,40.884355,-73.839263,"3740 BAYCHESTER AVE BRONX, NY 10466","BRONX",10466,"PK,0K,01,02,03,04,05","PK",5,"No","0.78","39415.18",0.08,0,0.61,0.36,0.97,0.01,"0.91","0.34","0.78","Approaching Target","0.64","Approaching Target","0.79","Approaching Target","0.5","Not Meeting Target","0.77","Not Meeting Target","0.73","Approaching Target","Approaching Target","2.12","2.15",1,17,0,"360050484004004",68750,840,784,1194,3975
"296","36005051600","","","","P.S. 175 CITY ISLAND",3.21e+11,"11X175",11,40.84379,-73.784691,"200 CITY ISLAND AVE BRONX, NY 10464","BRONX",10464,"0K,01,02,03,04,05,06,07,08","0K",8,"No","0.25","73103.77",0.02,0.06,0.09,0.29,0.38,0.54,"0.95","0.13","0.93","Meeting Target","0.96","Meeting Target","0.85","Meeting Target","0.88","Meeting Target","0.87","Meeting Target","0.9","Meeting Target","Meeting Target","2.86","3.03",1,2,0,"360050516003012",80396,897,751,1779,4034
"297","36047000100","","","","P.S. 008 ROBERT FULTON",3.31e+11,"13K008",13,40.700728,-73.992805,"37 HICKS ST BROOKLYN, NY 11201","BROOKLYN",11201,"PK,0K,01,02,03,04,05,07,08","PK",8,"No","0.18","111743.74",0.02,0.06,0.14,0.11,0.25,0.61,"0.96","0.08","0.91","Exceeding Target","0.93","Exceeding Target","0.84","Meeting Target","0.9","Exceeding Target","0.92","Exceeding Target","0.92","Meeting Target","Meeting Target","3.19","3.17",4,34,3,"360470001003003",87192,987,417,2201,4212
"298","36047001100","","","","URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN",3.31e+11,"13K527",13,40.694639,-73.988307,"283 ADAMS ST BROOKLYN, NY 11201","BROOKLYN",11201,"06,07,08,09,10,11,12","6",12,"No","0.7","N/A",0.05,0.05,0.71,0.14,0.86,0.08,"0.91","0.28","0.84","Exceeding Target","0.89","Exceeding Target","0.82","Meeting Target","0.86","Meeting Target","0.73","Approaching Target","0.88","Meeting Target","Approaching Target","2.36","2.19",4,30,17,"360470011001002",114844,273,77,610,1124
"299","36047001300","","","","BROOKLYN LABÂ CHARTER SCHOOL",3.31e+11,"84K803",13,40.698516,-73.986971,"240 JAY ST BROOKLYN, NY 11201","BROOKLYN",11201,"06,07,08","6",8,"No","0.64","N/A",0.02,0.02,0.7,0.19,0.89,0.05,"0","1","0.83","N/A","0.88","N/A","0.78","N/A","0.86","N/A","0.79","N/A","0.88","N/A","N/A","2.63","2.57",2,32,9,"360470013001006",105938,407,277,887,2565
"300","36047002100","","","","P.S. 307 DANIEL HALE WILLIAMS",3.31e+11,"13K307",13,40.701781,-73.981587,"209 YORK ST BROOKLYN, NY 11201","BROOKLYN",11201,"PK,0K,01,02,03,04,05","PK",5,"No","0.85","36954.58",0.03,0.04,0.57,0.29,0.86,0.08,"0.91","0.32","0.95","Meeting Target","0.93","Exceeding Target","0.92","Meeting Target","0.84","Meeting Target","0.89","Meeting Target","0.95","Exceeding Target","Meeting Target","2.18","2.38",3,39,8,"360470021003019",211071,1108,1035,1866,4621
"301","36047002100","","","","SATELLITE WEST MIDDLE SCHOOL",3.31e+11,"13K313",13,40.701781,-73.981587,"209 YORK ST BROOKLYN, NY 11201","BROOKLYN",11201,"06,07,08","6",8,"No","0.86","N/A",0.08,0.04,0.42,0.52,0.94,0,"0.87","0.47","0.91","Meeting Target","0.87","Meeting Target","0.88","Approaching Target","0.84","Meeting Target","0.84","Meeting Target","0.89","Meeting Target","Meeting Target","2.19","2.25",3,39,8,"360470021003019",211071,1108,1035,1866,4621
"302","36047002300","","","","P.S. 287 BAILEY K. ASHFORD",3.31e+11,"13K287",13,40.697861,-73.981047,"50 NAVY ST BROOKLYN, NY 11201","BROOKLYN",11201,"PK,0K,01,02,03,04,05","PK",5,"No","0.9","35929.65",0.03,0.05,0.7,0.22,0.91,0.01,"0.88","0.52","0.94","Meeting Target","0.88","Meeting Target","0.94","Approaching Target","0.8","Meeting Target","0.77","Not Meeting Target","0.87","Meeting Target","Approaching Target","2.14","2.1",2,29,13,"360470023003006",18125,1050,1259,1589,4389
"303","36047002901","","","","P.S. 067 CHARLES A. DORSEY",3.31e+11,"13K067",13,40.695143,-73.977889,"51 ST EDWARDS ST BROOKLYN, NY 11205","BROOKLYN",11205,"PK,0K,01,02,03,04,05","PK",5,"Yes","0.94","39140.78",0.08,0.08,0.54,0.35,0.88,0.01,"0.91","0.36","0.94","Approaching Target","0.89","Approaching Target","0.91","Approaching Target","0.82","Meeting Target","0.87","Meeting Target","0.89","Meeting Target","Meeting Target","2.09","2.15",4,35,18,"360470029012003",21226,835,1016,1307,4011
"304","36047002901","","","","COMMUNITY ROOTS CHARTER SCHOOL",3.31e+11,"84K536",13,40.695143,-73.977889,"51 ST EDWARDS ST-3RD FL BROOKLYN, NY 11205","BROOKLYN",11205,"0K,01,02,03,04,05,06,07,08","0K",8,"No","0.36","61778.93",0.02,0.04,0.33,0.16,0.48,0.39,"1","0","0.91","Meeting Target","0.93","Exceeding Target","0.86","Meeting Target","0.89","Exceeding Target","0.97","Exceeding Target","0.93","Exceeding Target","Meeting Target","2.86","2.86",4,35,18,"360470029012003",21226,835,1016,1307,4011
"305","36047003900","","","","P.S. 038 THE PACIFIC",3.32e+11,"15K038",15,40.684964,-73.982824,"450 PACIFIC ST BROOKLYN, NY 11217","BROOKLYN",11217,"PK,0K,01,02,03,04,05","PK",5,"No","0.64","55574.87",0.05,0.13,0.37,0.26,0.63,0.21,"0.93","0.25","0.93","Meeting Target","0.93","Meeting Target","0.93","Meeting Target","0.86","Meeting Target","0.93","Exceeding Target","0.93","Meeting Target","Exceeding Target","2.54","2.73",5,34,33,"360470039002001",104783,452,408,1220,2458
"306","36047003900","","","","THE MATH & SCIENCE EXPLORATORY SCHOOL",3.32e+11,"15K447",15,40.683835,-73.980355,"345 DEAN ST BROOKLYN, NY 11217","BROOKLYN",11217,"06,07,08","6",8,"No","0.24","N/A",0,0.08,0.17,0.2,0.37,0.52,"0.96","0.07","0.87","Exceeding Target","0.92","Exceeding Target","0.87","Meeting Target","0.91","Exceeding Target","0.88","Exceeding Target","0.93","Meeting Target","Exceeding Target","3.42","3.6",4,34,33,"360470039003001",104783,452,408,1220,2458
"307","36047004300","","","","P.S. 261 PHILIP LIVINGSTON",3.32e+11,"15K261",15,40.687121,-73.988365,"314 PACIFIC ST BROOKLYN, NY 11201","BROOKLYN",11201,"PK,0K,01,02,03,04,05","PK",5,"No","0.39","73221.7",0.05,0.05,0.29,0.22,0.51,0.39,"0.94","0.15","0.88","Meeting Target","0.84","Meeting Target","0.91","Meeting Target","0.75","Approaching Target","0.94","Exceeding Target","0.9","Meeting Target","Meeting Target","3.13","3.14",4,33,30,"360470043003001",125938,587,381,1596,3154
"308","36047004500","","","","P.S. 029 JOHN M. HARRIGAN",3.32e+11,"15K029",15,40.686935,-73.99771,"425 HENRY ST BROOKLYN, NY 11201","BROOKLYN",11201,"PK,0K,01,02,03,04,05","PK",5,"No","0.09","113707.13",0.03,0.05,0.04,0.11,0.15,0.74,"0.96","0.05","0.92","Exceeding Target","0.96","Exceeding Target","0.97","Exceeding Target","0.91","Exceeding Target","0.96","Exceeding Target","0.98","Exceeding Target","Meeting Target","3.32","3.58",2,23,12,"360470045004001",136484,732,639,1671,3465
"309","36047005300","","","","P.S. 015 PATRICK F. DALY",3.32e+11,"15K015",15,40.677069,-74.011851,"71 SULLIVAN ST BROOKLYN, NY 11231","BROOKLYN",11231,"PK,0K,01,02,03,04,05","PK",5,"No","0.81","36259.2",0.06,0.02,0.3,0.51,0.81,0.13,"0.92","0.32","0.9","Meeting Target","0.94","Exceeding Target","0.9","Meeting Target","0.85","Meeting Target","0.88","Meeting Target","0.94","Exceeding Target","Meeting Target","2.39","2.63",2,8,2,"360470053002005",80625,457,468,982,2424
"310","36047005900","","","","RED HOOK NEIGHBORHOOD SCHOOL",3.32e+11,"15K676",15,40.677847,-74.004818,"27 HUNTINGTON ST BROOKLYN, NY 11231","BROOKLYN",11231,"PK,0K,01,02,03,04,05","PK",5,"No","0.93","18409.76",0.09,0.01,0.49,0.45,0.94,0.03,"0.89","0.41","0.84","Approaching Target","0.82","Meeting Target","0.85","Approaching Target","0.72","Approaching Target","0.8","Approaching Target","0.82","Approaching Target","Meeting Target","2.19","2.32",2,14,4,"360470059002026",66328,255,219,611,1380
"311","36047005900","","","","SUMMIT ACADEMY CHARTER SCHOOL",3.32e+11,"84K730",15,40.677847,-74.004818,"27 HUNTINGTON ST BROOKLYN, NY 11231","BROOKLYN",11231,"06,07,08,09,10,11,12","6",12,"No","0.75","N/A",0.03,0,0.49,0.43,0.92,0.03,"0.89","0.36","0.87","Meeting Target","0.85","Meeting Target","0.83","Meeting Target","0.86","Meeting Target","0.88","Exceeding Target","0.9","Meeting Target","Approaching Target","2.27","2.45",2,14,4,"360470059002026",66328,255,219,611,1380
"312","36047005900","","","","PAVE ACADEMY CHARTER SCHOOL",3.32e+11,"84K651",15,40.675877,-74.003636,"732 HENRY ST BROOKLYN, NY 11231","BROOKLYN",11231,"0K,01,02,03,04,05,06,07,08","0K",8,"No","0.78","33133.86",0.05,0.02,0.42,0.52,0.94,0.03,"0.97","0","0.9","Meeting Target","0.84","Meeting Target","0.83","Meeting Target","0.78","Meeting Target","0.88","Meeting Target","0.92","Meeting Target","Meeting Target","2.56","2.84",2,14,5,"360470059002033",66328,255,219,611,1380
"313","36047006000","","","","P.S. 185 WALTER KASSENBROCK",3.32e+11,"20K185",20,40.623635,-74.033492,"8601 RIDGE BLVD BROOKLYN, NY 11209","BROOKLYN",11209,"0K,01,02,03,04,05","0K",5,"No","0.36","63542.07",0.07,0.08,0,0.16,0.17,0.73,"0.95","0.1","0.93","Exceeding Target","0.98","Exceeding Target","0.98","Exceeding Target","0.92","Exceeding Target","0.86","Meeting Target","0.97","Exceeding Target","Approaching Target","2.9","3.11",2,7,0,"360470060001001",71172,624,451,963,2541
"314","36047006000","","","","P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS",3.32e+11,"20K264",20,40.621006,-74.029639,"371 89TH ST BROOKLYN, NY 11209","BROOKLYN",11209,"0K,01,02,03,04,05","0K",5,"No","0.57","58345.88",0.13,0.12,0.03,0.35,0.37,0.5,"0.96","0.09","0.95","Exceeding Target","0.91","Meeting Target","0.97","Exceeding Target","0.9","Exceeding Target","0.84","Meeting Target","0.93","Meeting Target","N/A","2.61","3.02",3,8,0,"360470060002000",71172,624,451,963,2541
"315","36047006300","","","","BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES",3.32e+11,"15K448",15,40.679432,-74.001943,"610 HENRY ST BROOKLYN, NY 11231","BROOKLYN",11231,"06,07,08,09,10,11,12","6",12,"No","0.64","N/A",0.07,0.03,0.4,0.45,0.85,0.1,"0.94","0.17","0.85","Exceeding Target","0.91","Exceeding Target","0.85","Meeting Target","0.87","Meeting Target","0.81","Meeting Target","0.93","Exceeding Target","Approaching Target","2.49","2.04",2,14,6,"360470063002004",108287,423,381,847,1879
"316","36047006300","","","","THE BROOKLYN NEW SCHOOL, P.S. 146",3.32e+11,"15K146",15,40.679432,-74.001943,"610 HENRY ST BROOKLYN, NY 11231","BROOKLYN",11231,"PK,0K,01,02,03,04,05","PK",5,"No","0.35","64358.48",0.02,0.05,0.2,0.22,0.42,0.44,"0.95","0.12","0.97","Exceeding Target","0.99","Exceeding Target","0.95","Exceeding Target","0.99","Exceeding Target","0.95","Exceeding Target","0.98","Exceeding Target","Meeting Target","2.96","2.96",2,14,6,"360470063002004",108287,423,381,847,1879
"317","36047006800","","","","P.S./I.S. 30 MARY WHITE OVINGTON",3.32e+11,"20K030",20,40.633733,-74.02422,"7002 4TH AVE BROOKLYN, NY 11209","BROOKLYN",11209,"06,07,08","6",8,"No","0.65","50776.12",0.26,0.2,0.02,0.3,0.31,0.48,"0.95","0.13","0.87","Meeting Target","0.88","Exceeding Target","0.87","Meeting Target","0.81","Meeting Target","0.76","Not Meeting Target","0.9","Meeting Target","Meeting Target","2.71","2.81",2,11,25,"360470068002002",41923,1159,1028,1810,4718
"318","36047006800","","","","P.S. 102 THE BAYVIEW",3.32e+11,"20K102",20,40.634338,-74.028923,"211 72ND ST BROOKLYN, NY 11209","BROOKLYN",11209,"0K,01,02,03,04,05","0K",5,"No","0.54","57954.82",0.15,0.15,0.01,0.25,0.27,0.56,"0.96","0.1","0.94","Exceeding Target","0.93","Exceeding Target","0.95","Exceeding Target","0.86","Meeting Target","0.83","Approaching Target","0.94","Meeting Target","Meeting Target","2.88","3.2",2,11,12,"360470068003001",41923,1159,1028,1810,4718
"319","36047006900","","","","DIGITAL ARTS AND CINEMA TECHNOLOGY HIGH SCHOOL",3.32e+11,"15K429",15,40.685159,-73.993634,"284 BALTIC ST BROOKLYN, NY 11201","BROOKLYN",11201,"06,07,08,09,10,11,12","6",12,"No","0.75","N/A",0.07,0.03,0.54,0.39,0.93,0.04,"0.88","0.52","0.79","Approaching Target","0.73","Approaching Target","0.78","Meeting Target","0.67","Not Meeting Target","0.69","Not Meeting Target","0.76","Not Meeting Target","Meeting Target","2.1","2.14",3,24,30,"360470069003001",128989,660,375,1624,3411
"320","36047006900","","","","SCHOOL FOR INTERNATIONAL STUDIES",3.32e+11,"15K497",15,40.685159,-73.993634,"284 BALTIC ST BROOKLYN, NY 11201","BROOKLYN",11201,"06,07,08,09,10,11,12","6",12,"No","0.71","N/A",0.11,0.05,0.43,0.34,0.77,0.16,"0.95","0.13","0.83","Meeting Target","0.85","Exceeding Target","0.73","Approaching Target","0.79","Meeting Target","0.71","Approaching Target","0.8","Approaching Target","Approaching Target","2.14","2.01",3,24,30,"360470069003001",128989,660,375,1624,3411
"321","36047006900","","","","SUCCESS ACADEMY CHARTER SCHOOL - COBBLE HILL",3.32e+11,"84K129",15,40.685159,-73.993634,"284 BALTIC ST-BSMT BROOKLYN, NY 11201","BROOKLYN",11201,"0K,01,02,03,04,05,06,07,08","0K",8,"No","0.43","70496.26",0.03,0.05,0.33,0.3,0.63,0.29,"1","0","0.9","N/A","0.92","N/A","1","N/A","0.84","N/A","0.95","N/A","0.96","N/A","N/A","N/A","N/A",3,24,30,"360470069003001",128989,660,375,1624,3411
"322","36047007200","","","","SCHOOL OF MATH, SCIENCE, AND HEALTHY LIVING",3.32e+11,"20K971",20,40.639505,-74.020291,"6214 4TH AVE BROOKLYN, NY 11220","BROOKLYN",11220,"0K,01,02,03,04,05","0K",5,"No","0.79","36530.11",0.41,0.55,0.01,0.39,0.4,0.06,"0.97","0.05","0.95","Meeting Target","0.85","Meeting Target","0.96","Meeting Target","0.78","Meeting Target","0.83","Approaching Target","0.9","Meeting Target","N/A","2.32","2.88",3,16,42,"360470072001004",36378,523,610,602,2127
"323","36047007400","","","","P.S. 503: THE SCHOOL OF DISCOVERY",3.32e+11,"20K503",20,40.641937,-74.019313,"330 59TH ST BROOKLYN, NY 11220","BROOKLYN",11220,"PK,0K,01,02,03,04,05","PK",5,"No","0.88","39645.76",0.55,0.19,0.01,0.76,0.77,0.04,"0.95","0.13","0.81","Exceeding Target","0.88","Exceeding Target","0.89","Meeting Target","0.85","Meeting Target","0.87","Meeting Target","0.93","Meeting Target","Meeting Target","2.24","2.5",3,22,44,"360470074003001",40451,1166,1558,1393,5704
"324","36047007400","","","","P.S. 506: THE SCHOOL OF JOURNALISM & TECHNOLOGY",3.32e+11,"20K506",20,40.641937,-74.019313,"330 59TH ST BROOKLYN, NY 11220","BROOKLYN",11220,"PK,0K,01,02,03,04,05","PK",5,"No","0.82","39306.37",0.27,0.3,0.01,0.65,0.66,0.04,"0.95","0.12","0.91","Exceeding Target","0.93","Exceeding Target","0.93","Exceeding Target","0.85","Meeting Target","0.82","Approaching Target","0.95","Exceeding Target","Meeting Target","2.46","2.75",3,22,44,"360470074003001",40451,1166,1558,1393,5704
"325","36047007500","","","","M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION",3.32e+11,"15K442",15,40.680431,-73.991704,"317 HOYT ST BROOKLYN, NY 11231","BROOKLYN",11231,"06,07,08","6",8,"No","0.68","N/A",0.07,0.06,0.26,0.47,0.73,0.19,"0.92","0.27","0.84","Exceeding Target","0.9","Exceeding Target","0.85","Meeting Target","0.83","Meeting Target","0.82","Meeting Target","0.92","Meeting Target","Exceeding Target","2.36","2.3",3,24,32,"360470075003003",136168,1169,925,2015,4543
"326","36047007500","","","","P.S. 032 SAMUEL MILLS SPROLE",3.32e+11,"15K032",15,40.680431,-73.991704,"317 HOYT ST BROOKLYN, NY 11231","BROOKLYN",11231,"PK,0K,01,02,03,04,05","PK",5,"No","0.49","67461.95",0.03,0.08,0.22,0.26,0.48,0.41,"0.94","0.15","0.88","Meeting Target","0.93","Exceeding Target","0.92","Exceeding Target","0.9","Exceeding Target","0.93","Exceeding Target","0.97","Exceeding Target","Meeting Target","2.7","3.19",3,24,32,"360470075003003",136168,1169,925,2015,4543
"327","36047007700","","","","P.S. 058 THE CARROLL",3.32e+11,"15K058",15,40.68043,-73.99566,"330 SMITH ST BROOKLYN, NY 11231","BROOKLYN",11231,"PK,0K,01,02,03,04,05","PK",5,"No","0.14","105151.5",0.05,0.04,0.03,0.12,0.15,0.72,"0.96","0.05","0.91","Meeting Target","0.94","Exceeding Target","0.97","Exceeding Target","0.92","Exceeding Target","0.95","Exceeding Target","0.94","Meeting Target","Meeting Target","3.24","3.47",3,21,23,"360470077004000",130288,1168,815,1969,4692
"328","36047008000","","","","P.S. 001 THE BERGEN",3.32e+11,"15K001",15,40.648687,-74.011252,"309 47TH ST BROOKLYN, NY 11220","BROOKLYN",11220,"PK,0K,01,02,03,04,05","PK",5,"No","0.83","42845.08",0.43,0.06,0.01,0.88,0.89,0.04,"0.95","0.13","0.84","Approaching Target","0.79","Meeting Target","0.88","Meeting Target","0.68","Approaching Target","0.83","Approaching Target","0.89","Meeting Target","Meeting Target","2.35","2.6",1,24,44,"360470080003001",57955,846,1062,1236,4125
"329","36047008200","","","","I.S. 136 CHARLES O. DEWEY",3.32e+11,"15K136",15,40.652095,-74.007424,"4004 4TH AVE BROOKLYN, NY 11232","BROOKLYN",11232,"06,07,08","6",8,"No","0.81","N/A",0.36,0.06,0.03,0.84,0.87,0.07,"0.94","0.19","0.91","Approaching Target","0.94","Meeting Target","0.89","Meeting Target","0.87","Meeting Target","0.83","Meeting Target","0.94","Exceeding Target","Meeting Target","2.19","2.13",1,23,44,"360470082003000",40808,939,1025,1436,4306
"330","36047008200","","","","SUNSET PARK PREP",3.32e+11,"15K821",15,40.652095,-74.007424,"4004 4TH AVE BROOKLYN, NY 11232","BROOKLYN",11232,"06,07,08","6",8,"No","0.81","N/A",0.15,0.19,0.01,0.75,0.76,0.04,"0.96","0.09","0.78","Approaching Target","0.84","Meeting Target","0.84","Exceeding Target","0.85","Meeting Target","0.71","Approaching Target","0.92","Meeting Target","Exceeding Target","2.68","2.89",1,23,44,"360470082003000",40808,939,1025,1436,4306
"331","36047008400","","","","P.S. 024",3.32e+11,"15K024",15,40.652818,-74.004496,"427 38TH ST BROOKLYN, NY 11232","BROOKLYN",11232,"PK,0K,01,02,03,04,05","PK",5,"No","0.8","42541.58",0.46,0.05,0,0.91,0.91,0.04,"0.96","0.1","0.81","Approaching Target","0.83","Meeting Target","0.85","Meeting Target","0.64","Not Meeting Target","0.83","Approaching Target","0.86","Meeting Target","Approaching Target","2.12","2.43",1,21,44,"360470084002000",45096,834,937,1087,3784
"332","36047009200","","","","P.S. 169 SUNSET PARK",3.32e+11,"15K169",15,40.645814,-74.001702,"4305 7TH AVE BROOKLYN, NY 11232","BROOKLYN",11232,"0K,01,02,03,04,05","0K",5,"No","0.82","38576.22",0.46,0.53,0.01,0.41,0.42,0.04,"0.97","0.08","0.82","Meeting Target","0.73","Approaching Target","0.87","Meeting Target","0.61","Not Meeting Target","0.8","Approaching Target","0.74","Approaching Target","Meeting Target","2.56","3",2,27,44,"360470092003001",41496,1365,1349,1667,5450
"333","36047009800","","","","P.S. 094 THE HENRY LONGFELLOW",3.32e+11,"15K094",15,40.643673,-74.008715,"5010 6TH AVE BROOKLYN, NY 11220","BROOKLYN",11220,"0K,01,02,03,04,05","0K",5,"No","0.85","31997.48",0.55,0.61,0.01,0.37,0.37,0.01,"0.97","0.07","0.9","Meeting Target","0.83","Meeting Target","0.91","Meeting Target","0.77","Approaching Target","0.81","Approaching Target","0.87","Meeting Target","Approaching Target","2.31","2.78",1,26,44,"360470098004000",38197,1526,2651,1781,8144
"334","36047010100","","","","P.S. 172 BEACON SCHOOL OF EXCELLENCE",3.32e+11,"15K172",15,40.657598,-74.000094,"825 4TH AVE BROOKLYN, NY 11232","BROOKLYN",11232,"PK,0K,01,02,03,04,05","PK",5,"No","0.72","46086.07",0.25,0.06,0.04,0.77,0.81,0.13,"0.96","0.09","0.97","Exceeding Target","0.95","Exceeding Target","0.97","Exceeding Target","0.95","Exceeding Target","0.88","Meeting Target","0.98","Exceeding Target","Exceeding Target","3.33","3.93",0,16,14,"360470101001005",58033,987,888,1460,4212
"335","36047010800","","","","J.H.S. 220 JOHN J. PERSHING",3.32e+11,"20K220",20,40.640773,-74.000808,"4812 9TH AVE BROOKLYN, NY 11220","BROOKLYN",11220,"06,07,08","6",8,"No","0.83","N/A",0.33,0.49,0.01,0.44,0.45,0.06,"0.95","0.12","0.83","Exceeding Target","0.8","Approaching Target","0.82","Meeting Target","0.77","Approaching Target","0.67","Not Meeting Target","0.87","Approaching Target","Meeting Target","2.42","2.81",3,30,39,"360470108001002",32059,985,987,1298,4108
"336","36047011900","","x","75k372","P.S. 372 -THE CHILDREN'S SCHOOL",3.08e+11,"15K418",15,40.67652,-73.985495,"512 CARROLL ST BROOKLYN, NY 11215","BROOKLYN",11215,"01,02,03,04,05,06,SE","1",6,"No","N/A","N/A",0.04,0.05,0.22,0.24,0.46,0.47,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",4,21,36,"360470119003004",75682,395,236,720,1650
"337","36047012000","","","","THE SCHOOL FOR FUTURE LEADERS",3.32e+11,"20K310",20,40.632148,-74.00754,"942 62ND ST BROOKLYN, NY 11219","BROOKLYN",11219,"0K,01,02,03,04,05","0K",5,"No","0.84","42189.81",0.5,0.85,0.01,0.08,0.08,0.06,"0.98","0.03","0.93","Meeting Target","0.97","Exceeding Target","0.95","Exceeding Target","0.93","Exceeding Target","0.95","Exceeding Target","0.99","Exceeding Target","Exceeding Target","2.79","3.48",1,18,32,"360470120001012",50750,289,332,348,1305
"338","36047012000","","","","P.S. 69 VINCENT D. GRIPPO SCHOOL",3.32e+11,"20K069",20,40.63239,-74.009637,"6302 9TH AVE BROOKLYN, NY 11220","BROOKLYN",11220,"0K,01,02,03,04,05","0K",5,"No","0.82","42684.18",0.53,0.9,0,0.05,0.05,0.04,"0.98","0.04","0.93","Exceeding Target","0.95","Exceeding Target","0.95","Exceeding Target","0.85","Meeting Target","0.82","Approaching Target","0.97","Exceeding Target","Exceeding Target","2.82","3.32",2,17,34,"360470120001001",50750,289,332,348,1305
