Adjusted Grade,New?,Other Location Code in LCGMS,School Name,SED Code,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
,,,P.S. 111 SETON FALLS,3.21E+11,11X111,11,40.884355,-73.839263,"3740 BAYCHESTER AVE BRONX, NY 10466",BRONX,10466,"PK,0K,01,02,03,04,05",PK,5,No,0.78,39415.18,0.08,0,0.61,0.36,0.97,0.01,0.91,0.34,0.78,Approaching Target,0.64,Approaching Target,0.79,Approaching Target,0.5,Not Meeting Target,0.77,Not Meeting Target,0.73,Approaching Target,Approaching Target,2.12,2.15
,,,P.S. 112 BRONXWOOD,3.21E+11,11X112,11,40.884792,-73.843995,"1925 SCHEIFFELIN AVE BRONX, NY 10466",BRONX,10466,"PK,0K,01,02,03,04,05",PK,5,Yes,0.9,26709.85,0.05,0,0.48,0.5,0.98,0.02,0.91,0.44,0.9,Approaching Target,0.94,Meeting Target,0.91,Approaching Target,0.87,Meeting Target,0.85,Meeting Target,0.96,Exceeding Target,Approaching Target,2.08,2.09
,,,P.S. 121 THROOP,3.21E+11,11X121,11,40.866944,-73.850467,"2750 THROOP AVE BRONX, NY 10469",BRONX,10469,"PK,0K,01,02,03,04,05",PK,5,No,0.67,44929.61,0.06,0.07,0.61,0.26,0.88,0.04,0.93,0.26,0.91,Meeting Target,0.83,Meeting Target,0.95,Meeting Target,0.66,Not Meeting Target,0.8,Approaching Target,0.85,Meeting Target,Approaching Target,2.45,2.69
,,,J.H.S. 127 THE CASTLE HILL,3.21E+11,11X127,11,40.838494,-73.853201,"1560 PURDY ST BRONX, NY 10462",BRONX,10462,"06,07,08",6,8,No,0.72,N/A,0.18,0.31,0.23,0.41,0.64,0.04,0.94,0.17,0.9,Meeting Target,0.93,Exceeding Target,0.84,Meeting Target,0.89,Meeting Target,0.76,Approaching Target,0.93,Meeting Target,Meeting Target,2.49,2.62
,,,J.H.S. 144 MICHELANGELO,3.21E+11,11X144,11,40.86429,-73.836566,"2545 GUNTHER AVE BRONX, NY 10469",BRONX,10469,"06,07,08",6,8,No,0.69,N/A,0.07,0.03,0.65,0.29,0.94,0.02,0.9,0.33,0.89,Meeting Target,0.91,Meeting Target,0.83,Meeting Target,0.84,Meeting Target,0.73,Approaching Target,0.86,Approaching Target,Meeting Target,2.29,2.1
,,,P.S. 153 HELEN KELLER,3.21E+11,11X153,11,40.873045,-73.833345,"650 BAYCHESTER AVE BRONX, NY 10475",BRONX,10475,"0K,01,02,03,04,05",0K,5,No,0.44,47216.26,0.01,0.09,0.58,0.25,0.84,0.05,0.95,0.15,0.9,Exceeding Target,0.91,Meeting Target,0.9,Exceeding Target,0.84,Meeting Target,0.85,Meeting Target,0.96,Exceeding Target,Meeting Target,2.77,3.01
,,,P.S. 160 WALT DISNEY,3.21E+11,11X160,11,40.864136,-73.82396,"4140 HUTCHNSN RVR PKWY E BRONX, NY 10475",BRONX,10475,"0K,01,02,03,04,05",0K,5,No,0.51,51302.5,0.06,0.02,0.6,0.33,0.93,0.02,0.94,0.18,0.91,Meeting Target,0.9,Meeting Target,0.93,Meeting Target,0.82,Meeting Target,0.83,Approaching Target,0.94,Exceeding Target,Approaching Target,2.31,2.25
,,,BAYCHESTER ACADEMY,3.21E+11,11X169,11,40.880961,-73.839642,"3500 EDSON AVE BRONX, NY 10466",BRONX,10466,"PK,0K,01,02,03,04,05",PK,5,No,0.67,54024.91,0.03,0.01,0.72,0.21,0.93,0.02,0.94,0.21,0.96,Exceeding Target,0.93,Exceeding Target,0.96,Meeting Target,0.88,Meeting Target,0.86,Meeting Target,0.91,Meeting Target,Meeting Target,2.5,2.73
,,,P.S. 175 CITY ISLAND,3.21E+11,11X175,11,40.84379,-73.784691,"200 CITY ISLAND AVE BRONX, NY 10464",BRONX,10464,"0K,01,02,03,04,05,06,07,08",0K,8,No,0.25,73103.77,0.02,0.06,0.09,0.29,0.38,0.54,0.95,0.13,0.93,Meeting Target,0.96,Meeting Target,0.85,Meeting Target,0.88,Meeting Target,0.87,Meeting Target,0.9,Meeting Target,Meeting Target,2.86,3.03
,,,P.S. 178 - DR. SELMAN WAKSMAN,3.21E+11,11X178,11,40.875146,-73.833095,"850 BAYCHESTER AVE BRONX, NY 10475",BRONX,10475,"0K,01,02,03,04,05",0K,5,No,0.54,44313.87,0.03,0.02,0.64,0.27,0.91,0.04,0.95,0.15,0.93,Meeting Target,0.83,Meeting Target,0.88,Approaching Target,0.75,Approaching Target,0.78,Approaching Target,0.88,Meeting Target,Meeting Target,2.41,2.6
,,,M.S. 180 DR. DANIEL HALE WILLIAMS,3.21E+11,11X180,11,40.873204,-73.832178,"700 BAYCHESTER AVE BRONX, NY 10475",BRONX,10475,"06,07,08",6,8,No,0.5,N/A,0.01,0.03,0.69,0.23,0.92,0.03,0.95,0.13,0.87,Meeting Target,0.94,Meeting Target,0.86,Meeting Target,0.9,Exceeding Target,0.94,Exceeding Target,0.94,Exceeding Target,Meeting Target,2.71,2.71
,,,I.S. 181 PABLO CASALS,3.21E+11,11X181,11,40.874988,-73.832178,"800 BAYCHESTER AVE BRONX, NY 10475",BRONX,10475,"06,07,08",6,8,No,0.53,N/A,0.03,0.05,0.63,0.26,0.89,0.04,0.93,0.21,0.87,Exceeding Target,0.9,Exceeding Target,0.86,Meeting Target,0.84,Meeting Target,0.77,Approaching Target,0.91,Meeting Target,Meeting Target,2.66,2.67
,,,CORNERSTONE ACADEMY FOR SOCIAL ACTION,3.21E+11,11X189,11,40.883064,-73.830908,"3441 STEENWICK AVE BRONX, NY 10475",BRONX,10475,"PK,0K,01,02,03,04,05",PK,5,No,0.74,43493.31,0.04,0,0.54,0.41,0.96,0.02,0.92,0.3,0.88,Meeting Target,0.92,Exceeding Target,0.84,Meeting Target,0.88,Exceeding Target,0.84,Meeting Target,0.94,Exceeding Target,Meeting Target,2.37,2.54
,,,P.S./M.S. 194,3.21E+11,11X194,11,40.835236,-73.846547,"2365 WATERBURY AVE BRONX, NY 10462",BRONX,10462,"0K,01,02,03,04,05,06,07,08",0K,8,No,0.76,45253.24,0.14,0.33,0.08,0.53,0.61,0.04,0.95,0.16,0.92,Exceeding Target,0.87,Exceeding Target,0.85,Meeting Target,0.79,Meeting Target,0.76,Not Meeting Target,0.88,Meeting Target,Meeting Target,2.5,2.82
,,,NORTH BRONX SCHOOL OF EMPOWERMENT,3.21E+11,11X287,11,40.880634,-73.860155,"3710 BARNES AVE BRONX, NY 10467",BRONX,10467,"06,07,08,SE",6,8,No,0.74,N/A,0.08,0.03,0.58,0.33,0.92,0.01,0.89,0.39,0.86,Approaching Target,0.84,Meeting Target,0.78,Approaching Target,0.84,Meeting Target,0.73,Approaching Target,0.88,Meeting Target,Approaching Target,2.15,1.97
,,,THE YOUNG SCHOLARS ACADEMY OF THE BRONX,3.21E+11,11X289,11,40.880634,-73.860155,"3710 BARNES AVE BRONX, NY 10467",BRONX,10467,"06,07,08,SE",6,8,Yes,0.73,N/A,0.12,0.02,0.7,0.25,0.95,0.02,0.91,0.33,0.9,Meeting Target,0.9,Approaching Target,0.74,Approaching Target,0.82,Meeting Target,0.75,Approaching Target,0.88,Approaching Target,Approaching Target,2.16,2.09
,,,BRONX GREEN MIDDLE SCHOOL,3.21E+11,11X326,11,40.86206,-73.864588,"2441 WALLACE AVE BRONX, NY 10467",BRONX,10467,"06,07,08",6,8,No,0.78,N/A,0.16,0.08,0.26,0.57,0.83,0.09,0.92,0.27,0.91,Meeting Target,0.92,Meeting Target,0.85,Meeting Target,0.88,Meeting Target,0.78,Meeting Target,0.93,Exceeding Target,Meeting Target,2.28,2.26
,,,BRONX ALLIANCE MIDDLE SCHOOL,3.21E+11,11X355,11,40.886043,-73.840576,"3750 BAYCHESTER AVE BRONX, NY 10466",BRONX,10466,"06,07,08",6,8,No,0.73,N/A,0.07,0.05,0.61,0.31,0.92,0.02,0.93,0.26,0.84,Approaching Target,0.89,Approaching Target,0.82,Approaching Target,0.82,Meeting Target,0.84,Meeting Target,0.92,Exceeding Target,Approaching Target,2.08,2.08
,,,LEADERS OF TOMORROW,3.21E+11,11X370,11,40.880634,-73.860155,"3710 BARNES AVE BRONX, NY 10467",BRONX,10467,"06,07,08",6,8,Yes,0.77,N/A,0.19,0.04,0.5,0.4,0.9,0.03,0.88,0.46,0.93,Meeting Target,0.88,Meeting Target,0.81,Approaching Target,0.88,Meeting Target,0.77,Approaching Target,0.91,Meeting Target,Approaching Target,2.13,2.06
,,,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),3.21E+11,11X462,11,40.883064,-73.830908,"3441 STEENWICK AVE BRONX, NY 10475",BRONX,10475,"06,07,08",6,8,No,0.63,N/A,0.03,0,0.67,0.29,0.97,0.02,0.93,0.22,0.91,Meeting Target,0.84,Meeting Target,0.86,Meeting Target,0.79,Meeting Target,0.78,Approaching Target,0.9,Meeting Target,Meeting Target,2.49,2.53
,,,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,3.21E+11,11X468,11,40.86206,-73.864588,"2441 WALLACE AVE BRONX, NY 10467",BRONX,10467,"06,07,08",6,8,No,0.71,N/A,0.11,0.07,0.18,0.64,0.82,0.1,0.93,0.17,0.86,Exceeding Target,0.93,Exceeding Target,0.9,Exceeding Target,0.89,Meeting Target,0.83,Meeting Target,0.9,Meeting Target,Meeting Target,2.46,2.36
,,,P.S./M.S. 11X498 - VAN NEST ACADEMY,3.21E+11,11X498,11,40.845031,-73.857976,"1640 BRONXDALE AVE BRONX, NY 10462",BRONX,10462,"0K,01,02,03,04,05,06,07,08",0K,8,No,0.65,45355.72,0.06,0.07,0.12,0.65,0.78,0.14,0.95,0.1,0.91,Meeting Target,0.88,Meeting Target,0.87,Exceeding Target,0.86,Meeting Target,0.82,Approaching Target,0.9,Meeting Target,Meeting Target,2.65,2.76
,,,ONE WORLD MIDDLE SCHOOL AT EDENWALD,3.21E+11,11X529,11,40.886043,-73.840576,"3750 BAYCHESTER AVE BRONX, NY 10466",BRONX,10466,"06,07,08",6,8,No,0.7,N/A,0.07,0.03,0.6,0.32,0.93,0.02,0.93,0.24,0.89,Meeting Target,0.9,Meeting Target,0.84,Meeting Target,0.88,Meeting Target,0.79,Meeting Target,0.93,Meeting Target,Meeting Target,2.34,2.31
,,,BAYCHESTER MIDDLE SCHOOL,3.21E+11,11X532,11,40.886043,-73.840576,"3750 BAYCHESTER AVE BRONX, NY 10466",BRONX,10466,"06,07,08",6,8,No,0.7,N/A,0.05,0.01,0.68,0.27,0.95,0.01,0.93,0.26,0.85,Meeting Target,0.83,Meeting Target,0.89,Meeting Target,0.8,Approaching Target,0.8,Meeting Target,0.84,Meeting Target,Meeting Target,2.25,2.52
,,,BRONX PARK MIDDLE SCHOOL,3.21E+11,11X556,11,40.86206,-73.864588,"2441 WALLACE AVE BRONX, NY 10467",BRONX,10467,"06,07,08",6,8,No,0.77,N/A,0.16,0.07,0.26,0.57,0.83,0.09,0.92,0.27,0.89,Meeting Target,0.88,Exceeding Target,0.8,Meeting Target,0.83,Meeting Target,0.84,Meeting Target,0.9,Meeting Target,Approaching Target,2.19,2.15
,,,PELHAM GARDENS MIDDLE SCHOOL,3.21E+11,11X566,11,40.86429,-73.836566,"2545 GUNTHER AVE BRONX, NY 10469",BRONX,10469,"06,07,08",6,8,No,0.71,N/A,0.07,0.02,0.67,0.27,0.95,0.02,0.92,0.31,0.84,Meeting Target,0.91,Meeting Target,0.87,Meeting Target,0.88,Meeting Target,0.78,Meeting Target,0.94,Meeting Target,Meeting Target,2.29,2.22
,x,,LINDEN TREE ELEMENTARY SCHOOL,3.21E+11,11X567,11,40.838494,-73.853201,"1560 PURDY ST BRONX, NY 10462",BRONX,10462,"0K,01,02,03,04,05",0K,5,No,N/A,46890.41,0.25,0.16,0.16,0.64,0.8,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,P.S. 006 WEST FARMS,3.21E+11,12X006,12,40.840605,-73.88219,"1000 E TREMONT AVE BRONX, NY 10460",BRONX,10460,"PK,0K,01,02,03,04,05",PK,5,No,0.93,23200.82,0.1,0.01,0.25,0.72,0.97,0.01,0.89,0.45,0.89,Approaching Target,0.88,Approaching Target,0.83,Not Meeting Target,0.67,Not Meeting Target,0.82,Approaching Target,0.88,Approaching Target,Approaching Target,2.12,2.22
,,,P.S. 044 DAVID C. FARRAGUT,3.21E+11,12X044,12,40.842605,-73.890915,"1825 PROSPECT AVE BRONX, NY 10457",BRONX,10457,"PK,0K,01,02,03,04,05",PK,5,No,0.92,25112.45,0.16,0,0.31,0.68,0.98,0.01,0.9,0.4,0.94,Meeting Target,0.73,Approaching Target,0.72,Approaching Target,0.51,Not Meeting Target,0.81,Approaching Target,0.74,Not Meeting Target,Approaching Target,2.26,2.35
,,,P.S. 047 JOHN RANDOLPH,3.21E+11,12X047,12,40.832525,-73.866982,"1794 E 172ND ST BRONX, NY 10472",BRONX,10472,"0K,01,02,03,04,05",0K,5,No,0.86,33612.34,0.25,0.12,0.16,0.68,0.84,0.02,0.93,0.24,0.97,Meeting Target,0.94,Meeting Target,0.96,Meeting Target,0.84,Meeting Target,0.85,Meeting Target,0.94,Exceeding Target,Meeting Target,2.3,2.28
,,,P.S. 057 CRESCENT,3.21E+11,12X057,12,40.848711,-73.888912,"2111 CROTONA AVE BRONX, NY 10457",BRONX,10457,"PK,0K,01,02,03,04,05",PK,5,No,0.9,26933.86,0.14,0,0.24,0.71,0.95,0.01,0.9,0.42,0.95,Meeting Target,0.95,Meeting Target,0.95,Meeting Target,0.88,Meeting Target,0.84,Meeting Target,0.94,Meeting Target,Meeting Target,2.28,2.33
,,,P.S. 061 FRANCISCO OLLER,3.21E+11,12X061,12,40.836359,-73.89275,"1550 CROTONA PARK E BRONX, NY 10460",BRONX,10460,"PK,0K,01,02,03,04,05",PK,5,No,0.87,24190.42,0.07,0,0.22,0.76,0.99,0,0.94,0.17,0.94,Approaching Target,0.87,Meeting Target,0.92,Meeting Target,0.71,Approaching Target,0.89,Meeting Target,0.77,Not Meeting Target,Meeting Target,2.17,2.44
,,,P.S. 066 SCHOOL OF HIGHER EXPECTATIONS,3.21E+11,12X066,12,40.831394,-73.886584,"1001 JENNINGS ST BRONX, NY 10460",BRONX,10460,"PK,0K,01,02,03,04,05",PK,5,No,0.89,27311.75,0.12,0,0.27,0.71,0.98,0.02,0.92,0.31,0.87,Meeting Target,0.85,Meeting Target,0.87,Meeting Target,0.69,Approaching Target,0.82,Approaching Target,0.87,Approaching Target,Approaching Target,2.2,2.2
,,,P.S. 067 MOHEGAN SCHOOL,3.21E+11,12X067,12,40.843884,-73.884317,"2024 MOHEGAN AVE BRONX, NY 10460",BRONX,10460,"PK,0K,01,02,03,04,05",PK,5,No,0.91,21576.71,0.07,0.01,0.25,0.74,0.99,0,0.91,0.38,0.87,Meeting Target,0.84,Meeting Target,0.85,Approaching Target,0.73,Approaching Target,0.8,Approaching Target,0.79,Not Meeting Target,Meeting Target,2.19,2.3
,,,P.S. 092 BRONX,3.21E+11,12X092,12,40.846335,-73.889323,"700 E 179TH ST BRONX, NY 10457",BRONX,10457,"PK,0K,01,02,03,04,05",PK,5,Yes,0.92,24153.23,0.19,0.01,0.19,0.77,0.96,0.01,0.9,0.42,0.82,Not Meeting Target,0.78,Approaching Target,0.81,Not Meeting Target,0.65,Not Meeting Target,0.85,Meeting Target,0.85,Approaching Target,Approaching Target,2,1.9
,,,J.H.S. 098 HERMAN RIDDER,3.21E+11,12X098,12,40.835821,-73.890983,"1619 BOSTON RD BRONX, NY 10460",BRONX,10460,"06,07,08",6,8,No,0.87,N/A,0.21,0.01,0.29,0.67,0.96,0.02,0.9,0.35,0.85,Approaching Target,0.9,Approaching Target,0.76,Approaching Target,0.87,Meeting Target,0.91,Exceeding Target,0.92,Meeting Target,Meeting Target,2.07,2.15
,,,M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP,3.21E+11,12X129,12,40.845682,-73.886532,"2055 MAPES AVE BRONX, NY 10460",BRONX,10460,"06,07,08",6,8,No,0.91,N/A,0.14,0.02,0.32,0.63,0.95,0.01,0.92,0.28,0.89,Meeting Target,0.92,Meeting Target,0.86,Meeting Target,0.88,Exceeding Target,0.83,Meeting Target,0.94,Exceeding Target,Exceeding Target,2.26,2.25
,,,P.S. 134 GEORGE F. BRISTOW,3.21E+11,12X134,12,40.831595,-73.894227,"1330 BRISTOW ST BRONX, NY 10459",BRONX,10459,"PK,0K,01,02,03,04,05",PK,5,No,0.89,25141.36,0.11,0.01,0.46,0.5,0.96,0.02,0.91,0.37,0.83,Approaching Target,0.84,Exceeding Target,0.87,Approaching Target,0.72,Approaching Target,0.82,Approaching Target,0.84,Approaching Target,Meeting Target,2.33,2.35
,,,P.S. 150 CHARLES JAMES FOX,3.21E+11,12X150,12,40.826198,-73.894273,"920 E 167TH ST BRONX, NY 10459",BRONX,10459,"PK,0K,01,02,03,04,05",PK,5,No,0.88,24836.47,0.22,0.01,0.21,0.76,0.97,0.01,0.91,0.35,0.92,Meeting Target,0.91,Meeting Target,0.9,Approaching Target,0.81,Meeting Target,0.84,Approaching Target,0.93,Meeting Target,Approaching Target,2.19,2.26
,,,E.S.M.T- I.S. 190,3.21E+11,12X190,12,40.836359,-73.89275,"1550 CROTONA PARK E BRONX, NY 10460",BRONX,10460,"06,07,08",6,8,No,0.85,N/A,0.1,0.01,0.25,0.71,0.96,0.01,0.93,0.24,0.87,Meeting Target,0.84,Meeting Target,0.8,Approaching Target,0.74,Approaching Target,0.77,Approaching Target,0.82,Approaching Target,Meeting Target,2.25,2.22
,,,P.S. 195,3.21E+11,12X195,12,40.830906,-73.877497,"1250 WARD AVE BRONX, NY 10472",BRONX,10472,"02,03,04,05",2,5,No,0.91,27483.68,0.26,0.02,0.16,0.8,0.96,0,0.92,0.29,0.9,Approaching Target,0.91,Approaching Target,0.89,Approaching Target,0.82,Meeting Target,0.85,Meeting Target,0.92,Meeting Target,Approaching Target,2.07,2.19
,,,P.S. 196,3.21E+11,12X196,12,40.830906,-73.877497,"1250 WARD AVE BRONX, NY 10472",BRONX,10472,"02,03,04,05",2,5,No,0.86,27834.71,0.29,0.01,0.18,0.78,0.95,0.01,0.93,0.27,0.82,N/A,0.74,N/A,0.79,N/A,0.69,N/A,0.76,Not Meeting Target,0.77,Approaching Target,Approaching Target,2.24,2.39
,,,P.S. 211,3.21E+11,12X211,12,40.84385,-73.890063,"1919 PROSPECT AVE BRONX, NY 10457",BRONX,10457,"PK,0K,01,02,03,04,05,06,07,08",PK,8,Yes,0.87,23881.24,0.24,0,0.15,0.84,0.98,0.01,0.92,0.3,0.87,Approaching Target,0.79,Approaching Target,0.86,Approaching Target,0.65,Not Meeting Target,0.82,Approaching Target,0.81,Approaching Target,Meeting Target,2.22,2.36
,,,P.S. 212,3.21E+11,12X212,12,40.828715,-73.900452,"1180 TINTON AVE BRONX, NY 10456",BRONX,10456,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.89,26962.88,0.19,0.01,0.35,0.61,0.95,0.01,0.91,0.35,0.89,Approaching Target,0.9,Meeting Target,0.84,Approaching Target,0.84,Meeting Target,0.78,Approaching Target,0.9,Meeting Target,Meeting Target,2.15,2.26
,,,P.S. 214,3.21E+11,12X214,12,40.839183,-73.88028,"1970 W FARMS RD BRONX, NY 10460",BRONX,10460,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.87,26979.39,0.1,0.02,0.25,0.7,0.95,0.01,0.91,0.33,0.85,Meeting Target,0.89,Exceeding Target,0.82,Meeting Target,0.86,Meeting Target,0.78,Approaching Target,0.9,Meeting Target,Meeting Target,2.24,2.36
,,,SCHOOL OF PERFORMING ARTS,3.21E+11,12X217,12,40.822084,-73.894038,"977 FOX ST BRONX, NY 10459",BRONX,10459,"06,07,08",6,8,Yes,0.87,N/A,0.21,0.03,0.28,0.67,0.96,0.01,0.9,0.38,0.79,Approaching Target,0.77,Approaching Target,0.71,Approaching Target,0.73,Approaching Target,0.82,Meeting Target,0.82,Approaching Target,Approaching Target,2.11,1.98
,,,MOTT HALL V,3.21E+11,12X242,12,40.831694,-73.877464,"1551 E 172ND ST BRONX, NY 10472",BRONX,10472,"06,07,08,SE",6,8,No,0.8,N/A,0.1,0.04,0.18,0.76,0.94,0.01,0.94,0.22,0.82,Meeting Target,0.87,Exceeding Target,0.89,Exceeding Target,0.8,Meeting Target,0.74,Approaching Target,0.92,Exceeding Target,Meeting Target,2.36,2.31
,,,BRONX LATIN,3.21E+11,12X267,12,40.827387,-73.900529,"800 HOME ST BRONX, NY 10456",BRONX,10456,"06,07,08,09,10,11,12",6,12,No,0.84,N/A,0.12,0.02,0.21,0.77,0.98,0,0.94,0.13,0.93,Exceeding Target,0.97,Exceeding Target,0.91,Exceeding Target,0.96,Exceeding Target,0.87,Exceeding Target,0.96,Exceeding Target,Exceeding Target,2.34,2.33
,,,EAST BRONX ACADEMY FOR THE FUTURE,3.21E+11,12X271,12,40.836839,-73.887671,"1716 SOUTHERN BLVD BRONX, NY 10460",BRONX,10460,"06,07,08,09,10,11,12",6,12,Yes,0.85,N/A,0.11,0.01,0.26,0.72,0.98,0.01,0.87,0.48,0.85,Meeting Target,0.91,Exceeding Target,0.84,Meeting Target,0.92,Exceeding Target,0.75,Approaching Target,0.93,Meeting Target,Meeting Target,2.23,2.16
,,,FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,3.21E+11,12X273,12,40.848711,-73.888912,"2111 CROTONA AVE BRONX, NY 10457",BRONX,10457,"06,07,08",6,8,No,0.82,N/A,0.08,0.01,0.3,0.67,0.97,0.01,0.9,0.37,0.81,Approaching Target,0.92,Meeting Target,0.8,Approaching Target,0.89,Meeting Target,0.78,Meeting Target,0.92,Meeting Target,Approaching Target,2.25,2.19
,,,FANNIE LOU HAMER MIDDLE SCHOOL,3.21E+11,12X286,12,40.831394,-73.886584,"1001 JENNINGS ST BRONX, NY 10460",BRONX,10460,"06,07,08,SE",6,8,Yes,0.84,N/A,0.16,0.01,0.26,0.71,0.97,0.01,0.92,0.2,0.89,Meeting Target,0.94,Meeting Target,0.86,Meeting Target,0.93,Exceeding Target,0.8,Meeting Target,0.94,Exceeding Target,Meeting Target,2.23,2.17
,,,THE SCHOOL OF SCIENCE AND APPLIED LEARNING,3.21E+11,12X300,12,40.84624,-73.887388,"2050 PROSPECT AVE BRONX, NY 10457",BRONX,10457,"PK,0K,01,02,03,04,05",PK,5,No,0.92,21603.69,0.14,0,0.39,0.59,0.98,0.01,0.89,0.46,0.93,Approaching Target,0.94,Meeting Target,0.91,Approaching Target,0.9,Exceeding Target,0.88,Meeting Target,0.96,Exceeding Target,Approaching Target,2.15,2.18
,,,FAIRMONT NEIGHBORHOOD SCHOOL,3.21E+11,12X314,12,40.834237,-73.887144,"1550 VYSE AVE BRONX, NY 10460",BRONX,10460,"PK,0K,01,02,03,04,05",PK,5,No,0.88,24333.94,0.16,0,0.4,0.57,0.98,0.02,0.91,0.36,0.7,N/A,0.76,N/A,0.9,N/A,0.67,N/A,0.82,N/A,0.84,N/A,N/A,N/A,N/A
,,,KAPPA III,3.21E+11,12X316,12,40.845682,-73.886532,"2055 MAPES AVE BRONX, NY 10460",BRONX,10460,"06,07,08",6,8,No,0.84,N/A,0.09,0.02,0.3,0.65,0.95,0.02,0.94,0.19,0.92,Exceeding Target,0.93,Exceeding Target,0.86,Meeting Target,0.89,Exceeding Target,0.8,Meeting Target,0.94,Exceeding Target,Meeting Target,2.43,2.52
,,,"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",3.21E+11,12X318,12,40.84385,-73.890063,"1919 PROSPECT AVE BRONX, NY 10457",BRONX,10457,"06,07,08",6,8,No,0.88,N/A,0.19,0.01,0.27,0.7,0.97,0.02,0.88,0.38,0.85,Meeting Target,0.79,Meeting Target,0.83,Approaching Target,0.73,Approaching Target,0.79,Meeting Target,0.9,Meeting Target,Meeting Target,2.15,2.16
,,,ACCION ACADEMY,3.21E+11,12X341,12,40.842605,-73.890915,"1825 PROSPECT AVE BRONX, NY 10457",BRONX,10457,"06,07,08",6,8,No,0.9,N/A,0.18,0.02,0.25,0.69,0.95,0.03,0.88,0.4,0.85,Exceeding Target,0.91,Exceeding Target,0.83,Approaching Target,0.87,Meeting Target,0.8,Meeting Target,0.92,Meeting Target,Meeting Target,2.2,2.07
,,,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,3.21E+11,12X372,12,40.843884,-73.884317,"2024 MOHEGAN AVE BRONX, NY 10460",BRONX,10460,"06,07,08,09,10,11,12",6,12,No,0.81,N/A,0.11,0.01,0.27,0.69,0.96,0.02,0.87,0.42,0.9,Approaching Target,0.76,Approaching Target,0.83,Approaching Target,0.62,Not Meeting Target,0.78,Approaching Target,0.79,Meeting Target,Meeting Target,2.27,2.24
,,,EMOLIOR ACADEMY,3.21E+11,12X383,12,40.839183,-73.88028,"1970 W FARMS RD BRONX, NY 10460",BRONX,10460,"06,07,08",6,8,No,0.84,N/A,0.21,0.04,0.25,0.64,0.89,0.02,0.9,0.37,0.76,Not Meeting Target,0.84,Meeting Target,0.82,Approaching Target,0.83,Meeting Target,0.83,Meeting Target,0.92,Meeting Target,Meeting Target,2.22,2.33
,,,ENTRADA ACADEMY,3.21E+11,12X384,12,40.822084,-73.894038,"977 FOX ST BRONX, NY 10459",BRONX,10459,"06,07,08",6,8,Yes,0.87,N/A,0.33,0.02,0.16,0.8,0.96,0.01,0.92,0.23,0.74,Not Meeting Target,0.73,Approaching Target,0.8,Meeting Target,0.7,Not Meeting Target,0.77,Approaching Target,0.85,Approaching Target,Approaching Target,2.04,1.97
,,,URBAN SCHOLARS COMMUNITY SCHOOL,3.21E+11,12X463,12,40.828715,-73.900452,"1180 TINTON AVE BRONX, NY 10456",BRONX,10456,"PK,0K,01,02,03,04,05",PK,5,Yes,0.92,28867.61,0.16,0.01,0.47,0.52,0.99,0.01,0.92,0.33,0.96,Meeting Target,0.91,Meeting Target,0.89,Meeting Target,0.86,Meeting Target,0.87,Meeting Target,0.93,Meeting Target,Meeting Target,2.13,2.1
,,,ARCHER ELEMENTARY SCHOOL,3.21E+11,12X531,12,40.838212,-73.866026,"1827 ARCHER ST BRONX, NY 10460",BRONX,10460,"PK,0K,01,02,03,04,05",PK,5,No,0.85,33924.52,0.21,0.11,0.26,0.59,0.85,0.02,0.93,0.24,0.88,Meeting Target,0.89,Meeting Target,0.87,Meeting Target,0.9,Exceeding Target,0.83,Approaching Target,0.93,Meeting Target,Approaching Target,2.11,2.23
,,,P.S. 536,3.21E+11,12X536,12,40.838212,-73.866026,"1827 ARCHER ST BRONX, NY 10460",BRONX,10460,"PK,0K,01,02,03,04,05",PK,5,No,0.85,32464.21,0.21,0.06,0.2,0.71,0.91,0.02,0.91,0.36,0.97,Meeting Target,0.93,Meeting Target,0.96,Meeting Target,0.89,Meeting Target,0.83,Approaching Target,0.93,Meeting Target,Meeting Target,2.24,2.36
